"","CCFPT.1A","CCFPT.1B","CCFPT.1C","CCFPT.1D","CCFPT.1E","CCFPT.1F","CCFPT.1G","CCFPT.2A","CCFPT.2B","CCFPT.2C","CCFPT.2D","CCFPT.2E","CCFPT.3A","CCFPT.3B","CCFPT.3C","CCFPT.3D","CCFPT.3E","CCFPT.3F","CCFPT.3G","CCFPT.4A","CCFPT.4B","CCFPT.4C","CCFPT.4D","CCFPT.5A","CCFPT.5B","CCFPT.5C","CCFPT.5D","CCFPT.5F","CCFPT.5G","CCFPT.6A","CCFPT.6C","CCFPT.6D","CCFPT.6F","CCFPT.6G","CCFPT.7A","CCFPT.7B","CCFPT.7C","CCFPT.7D","CCFPT.7F","CCFPT.7G","CCFPT.8A","CCFPT.8B","CCFPT.8C","CCFPT.8D","CCFPT.8E"
"ASV365",32,15,40,0,19,0,4,0,0,0,0,0,0,29,0,0,10,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,31,0,0,0,0,11,0,0,0,37
"ASV351",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0
"ASV382",21,21,45,15,23,3,10,0,0,0,0,49,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"ASV265",0,83,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,244,0,0,0,0,0,0,0,0,0,0,0,75
"ASV288",17,49,46,0,24,0,18,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,146,49,0,0,0,0,0,0,0,0,0,0,0
"ASV152",47,101,104,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,322,1265,423,0,0,0,0,0,0,87,0,0,0,76
"ASV245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,123,386,113,0,0,0,0,0,0,0,0,0,0,0
"ASV464",0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
"ASV25",4675,8277,8659,3991,4713,1987,2903,425,236,1070,139,309,63,223,326,123,1772,256,635,182,611,564,649,20,231,1300,181,1489,447,31,8346,5083,21389,7452,249,778,161,102,111,80,1624,526,753,982,2714
"ASV229",176,239,295,78,112,0,86,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
"ASV379",0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0
"ASV311",0,95,96,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
"ASV264",0,82,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,205,72,0,0,0,0,0,0,0,0,0,0,56
"ASV316",74,93,128,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV197",0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1307,0,44,0,0,0,0,0,0,0,0,0,0,0,75
"ASV42",4454,5581,7402,1691,2638,550,1587,235,25,40,0,45,15,1430,142,102,372,170,386,5,10,39,346,8,104,331,54,73,213,0,9478,304,1062,287,11,2718,30,29,28,16,1130,92,243,187,2228
"ASV430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0,0,0,0,49
"ASV1480",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV70",1334,300,246,100,177,68,96,20,8,937,7,211,58,66,385,102,327,82,250,9,22,692,497,37,222,2786,183,406,176,0,69,27,108,38,18,551,21,12,9,12,2493,0,128,120,1707
"ASV127",65,102,52,78,45,61,34,13,38,42,0,37,57,44,219,63,604,48,329,0,22,9,24,49,153,75,8,249,73,24,113,70,287,87,255,107,33,13,19,53,149,165,50,159,154
"ASV338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,96,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,32,0,0,0
"ASV1210",2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,144,0,79,0,0,0,0,0,86,0,0,163,46,0,0,0,59,0,87,0,0,0,0,0,0,0,0,48,55
"ASV122",43,8,22,17,14,7,0,7,18,19,0,9,68,21,60,35,176,76,142,0,12,6,49,52,91,785,78,175,184,0,21,0,19,0,19,139,29,12,16,0,1364,236,56,268,455
"ASV201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,63,0,0,0,0,77,216,42,27,477,129,0,0,0,86,0,73,0,0,0,0,0,0,57,0,0,62
"ASV50",353,603,341,462,341,361,212,71,193,335,86,293,412,399,1737,424,4245,399,2109,59,131,84,102,282,864,470,103,1646,469,120,701,399,1570,646,1787,725,261,84,137,332,1028,1333,231,922,865
"ASV273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,203,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,53,0,49,49
"ASV345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,63,85,36,0,14,0,0,9
"ASV409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,22,49,53,0,0,0,0,0,0
"ASV251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,268,300,0,0,0,0,0,0,0,0,0,0,87
